,Unnamed: 0.1,Unnamed: 0,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100Km,highway-mpg,price,price-binned
23,23,23,1.0,118.0,4,1,1,1,2,1,0,93.7,0.7558865929841423,63.8,50.8,2128.0,2,2,98.0,5,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30.0,7957.0,1
24,24,24,1.0,148.0,4,1,0,0,2,1,0,93.7,0.7558865929841423,63.8,50.6,1967.0,2,2,90.0,1,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6229.0,1
25,25,25,1.0,148.0,4,1,0,0,3,1,0,93.7,0.7558865929841423,63.8,50.6,1989.0,2,2,90.0,1,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6692.0,1
26,26,26,1.0,148.0,4,1,0,0,3,1,0,93.7,0.7558865929841423,63.8,50.6,1989.0,2,2,90.0,1,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,7609.0,1
27,27,27,1.0,148.0,4,1,1,0,3,1,0,93.7,0.7558865929841423,63.8,50.6,2191.0,2,2,98.0,5,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30.0,8558.0,1
28,28,28,-1.0,110.0,4,1,0,0,4,1,0,103.3,0.8390197020663143,64.6,59.8,2535.0,2,2,122.0,1,3.34,3.46,8.5,88.0,5000.0,9.791666666666666,30.0,8921.0,1
29,29,29,3.0,145.0,4,1,1,1,2,1,0,95.9,0.8322921672272945,66.3,50.2,2811.0,2,2,156.0,4,3.6,3.9,7.0,145.0,5000.0,12.36842105263158,24.0,12964.0,1
30,30,30,2.0,137.0,5,1,0,1,2,1,0,86.6,0.6948582412301778,63.9,50.8,1713.0,2,2,92.0,0,2.91,3.41,9.6,58.0,4800.0,4.795918367346939,54.0,6479.0,1
31,31,31,2.0,137.0,5,1,0,1,2,1,0,86.6,0.6948582412301778,63.9,50.8,1819.0,2,2,92.0,0,2.91,3.41,9.2,76.0,6000.0,7.580645161290323,38.0,6855.0,1
32,32,32,1.0,101.0,5,1,0,1,2,1,0,93.7,0.7208073041806824,64.0,52.6,1837.0,2,2,79.0,0,2.91,3.07,10.1,60.0,5500.0,6.184210526315789,42.0,5399.0,1
33,33,33,1.0,101.0,5,1,0,1,2,1,0,93.7,0.7208073041806824,64.0,52.6,1940.0,2,2,92.0,0,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34.0,6529.0,1
34,34,34,1.0,101.0,5,1,0,1,2,1,0,93.7,0.7208073041806824,64.0,52.6,1956.0,2,2,92.0,0,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34.0,7129.0,1
35,35,35,0.0,110.0,5,1,0,0,3,1,0,96.5,0.7851994233541567,64.0,54.5,2010.0,2,2,92.0,0,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34.0,7295.0,1
36,36,36,0.0,78.0,5,1,0,0,4,1,0,96.5,0.754925516578568,63.9,58.3,2024.0,2,2,92.0,0,2.92,3.41,9.2,76.0,6000.0,7.833333333333333,34.0,7295.0,1
37,37,37,0.0,106.0,5,1,0,1,2,1,0,96.5,0.8049014896684287,65.2,53.3,2236.0,2,2,110.0,0,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33.0,7895.0,1
38,38,38,0.0,106.0,5,1,0,1,2,1,0,96.5,0.8049014896684287,65.2,53.3,2289.0,2,2,110.0,0,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33.0,9095.0,1
39,39,39,0.0,85.0,5,1,0,0,3,1,0,96.5,0.8428640076886112,65.2,54.1,2304.0,2,2,110.0,0,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33.0,8845.0,1
40,40,40,0.0,85.0,5,1,0,0,3,1,0,96.5,0.8428640076886112,62.5,54.1,2372.0,2,2,110.0,0,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33.0,10295.0,1
41,41,41,0.0,85.0,5,1,0,0,3,1,0,96.5,0.8428640076886112,65.2,54.1,2465.0,2,2,110.0,5,3.15,3.58,9.0,101.0,5800.0,9.791666666666666,28.0,12945.0,1
42,42,42,1.0,107.0,5,1,0,1,3,1,0,96.5,0.8125901009130225,66.0,51.0,2293.0,2,2,110.0,1,3.15,3.58,9.1,100.0,5500.0,9.4,31.0,10345.0,1
43,43,43,0.0,122.0,6,1,0,0,3,2,0,94.3,0.8202787121576165,61.8,53.5,2337.0,2,2,111.0,1,3.31,3.23,8.5,78.0,4800.0,9.791666666666666,29.0,6785.0,1
46,46,46,2.0,122.0,6,1,0,1,2,2,0,96.0,0.8294089380105718,65.2,51.4,2734.0,2,2,119.0,7,3.43,3.23,9.2,90.0,5000.0,9.791666666666666,29.0,11048.0,1
47,47,47,0.0,145.0,7,1,0,0,3,2,0,113.0,0.9591542527630946,69.6,52.8,4066.0,0,3,258.0,5,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,19.0,32250.0,0
48,48,48,0.0,122.0,7,1,0,0,3,2,0,113.0,0.9591542527630946,69.6,52.8,4066.0,0,3,258.0,5,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,19.0,35550.0,0
49,49,49,0.0,122.0,7,1,0,1,3,2,0,102.0,0.921191734742912,70.6,47.8,3950.0,4,5,326.0,5,3.54,2.76,11.5,262.0,5000.0,18.07692307692308,17.0,36000.0,0
50,50,50,1.0,104.0,8,1,0,1,2,1,0,93.1,0.7645362806343105,64.2,54.1,1890.0,2,2,91.0,1,3.03,3.15,9.0,68.0,5000.0,7.833333333333333,31.0,5195.0,1
51,51,51,1.0,104.0,8,1,0,1,2,1,0,93.1,0.7645362806343105,64.2,54.1,1900.0,2,2,91.0,1,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38.0,6095.0,1
52,52,52,1.0,104.0,8,1,0,1,2,1,0,93.1,0.7645362806343105,64.2,54.1,1905.0,2,2,91.0,1,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38.0,6795.0,1
53,53,53,1.0,113.0,8,1,0,0,3,1,0,93.1,0.8015377222489188,64.2,54.1,1945.0,2,2,91.0,1,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38.0,6695.0,1
54,54,54,1.0,113.0,8,1,0,0,3,1,0,93.1,0.8015377222489188,64.2,54.1,1950.0,2,2,91.0,1,3.08,3.15,9.0,68.0,5000.0,7.580645161290323,38.0,7395.0,1
55,55,55,3.0,150.0,8,1,0,1,2,2,0,95.3,0.8121095627102355,65.7,49.6,2380.0,5,6,70.0,2,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,13.823529411764708,23.0,10945.0,1
56,56,56,3.0,150.0,8,1,0,1,2,2,0,95.3,0.8121095627102355,65.7,49.6,2380.0,5,6,70.0,2,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,13.823529411764708,23.0,11845.0,1
57,57,57,3.0,150.0,8,1,0,1,2,2,0,95.3,0.8121095627102355,65.7,49.6,2385.0,5,6,70.0,2,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,13.823529411764708,23.0,13645.0,1
58,58,58,3.0,150.0,8,1,0,1,2,2,0,95.3,0.8121095627102355,65.7,49.6,2500.0,5,6,80.0,5,3.330710659898477,3.256903553299492,9.4,135.0,6000.0,14.6875,23.0,15645.0,1
59,59,59,1.0,129.0,8,1,0,1,2,1,0,98.8,0.8543969245555022,66.5,53.7,2385.0,2,2,122.0,1,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32.0,8845.0,1
60,60,60,0.0,115.0,8,1,0,0,3,1,0,98.8,0.8543969245555022,66.5,55.5,2410.0,2,2,122.0,1,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32.0,8495.0,1
61,61,61,1.0,129.0,8,1,0,1,2,1,0,98.8,0.8543969245555022,66.5,53.7,2385.0,2,2,122.0,1,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32.0,10595.0,1
62,62,62,0.0,115.0,8,1,0,0,3,1,0,98.8,0.8543969245555022,66.5,55.5,2410.0,2,2,122.0,1,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32.0,10245.0,1
63,63,63,0.0,122.0,8,0,0,0,3,1,0,98.8,0.8543969245555022,66.5,55.5,2443.0,2,2,122.0,3,3.39,3.39,22.7,64.0,4650.0,6.527777777777778,42.0,10795.0,1
64,64,64,0.0,115.0,8,1,0,0,2,1,0,98.8,0.8543969245555022,66.5,55.5,2425.0,2,2,122.0,1,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32.0,11245.0,1
65,65,65,0.0,118.0,8,1,0,0,3,2,0,104.9,0.8409418548774628,66.1,54.4,2670.0,2,2,140.0,5,3.76,3.16,8.0,120.0,5000.0,12.36842105263158,27.0,18280.0,1
66,66,66,0.0,122.0,8,0,0,0,3,2,0,104.9,0.8409418548774628,66.1,54.4,2700.0,2,2,134.0,3,3.43,3.64,22.0,72.0,4200.0,7.580645161290323,39.0,18344.0,1
67,67,67,-1.0,93.0,9,0,1,0,3,2,0,110.0,0.9173474291206152,70.3,56.5,3515.0,2,1,183.0,3,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25.0,25552.0,2
68,68,68,-1.0,93.0,9,0,1,0,4,2,0,110.0,0.9173474291206152,70.3,58.7,3750.0,2,1,183.0,3,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25.0,28248.0,2
69,69,69,0.0,93.0,9,0,1,1,1,2,0,106.7,0.9010091302258528,70.3,54.9,3495.0,2,1,183.0,3,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25.0,28176.0,2
70,70,70,-1.0,93.0,9,0,1,0,3,2,0,115.6,0.9735703988467084,71.7,56.3,3770.0,2,1,183.0,3,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25.0,31600.0,2
71,71,71,-1.0,122.0,9,1,0,0,3,2,0,115.6,0.9735703988467084,71.7,56.5,3740.0,4,0,234.0,5,3.46,3.1,8.3,155.0,4750.0,14.6875,18.0,34184.0,0
72,72,72,3.0,142.0,9,1,0,1,0,2,0,96.6,0.8664103796251803,70.5,50.8,3685.0,4,0,234.0,5,3.46,3.1,8.3,155.0,4750.0,14.6875,18.0,35056.0,0
73,73,73,0.0,122.0,9,1,0,0,3,2,0,120.9,1.0,71.7,56.7,3900.0,4,0,308.0,5,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,16.0,40960.0,0
74,74,74,1.0,122.0,9,1,0,1,1,2,0,112.0,0.957232099951946,72.0,55.4,3715.0,4,0,304.0,5,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,16.0,45400.0,0
75,75,75,1.0,122.0,10,1,1,1,2,2,0,102.7,0.857280153772225,68.0,54.8,2910.0,2,2,140.0,5,3.78,3.12,8.0,175.0,5000.0,12.36842105263158,24.0,16503.0,1
76,76,76,2.0,161.0,11,1,0,1,2,1,0,93.7,0.7558865929841423,64.4,50.8,1918.0,2,2,92.0,1,2.97,3.23,9.4,68.0,5500.0,6.351351351351352,41.0,5389.0,1
77,77,77,2.0,161.0,11,1,0,1,2,1,0,93.7,0.7558865929841423,64.4,50.8,1944.0,2,2,92.0,1,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6189.0,1
78,78,78,2.0,161.0,11,1,0,1,2,1,0,93.7,0.7558865929841423,64.4,50.8,2004.0,2,2,92.0,1,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6669.0,1
79,79,79,1.0,161.0,11,1,1,1,2,1,0,93.0,0.7558865929841423,63.8,50.8,2145.0,2,2,98.0,6,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30.0,7689.0,1
80,80,80,3.0,153.0,11,1,1,1,2,1,0,96.3,0.8313310908217203,65.4,49.4,2370.0,2,2,110.0,6,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30.0,9959.0,1
81,81,81,3.0,153.0,11,1,0,1,2,1,0,96.3,0.8313310908217203,65.4,49.4,2328.0,2,2,122.0,1,3.35,3.46,8.5,88.0,5000.0,9.4,32.0,8499.0,1
82,82,82,3.0,122.0,11,1,1,1,2,1,0,95.9,0.8322921672272945,66.3,50.2,2833.0,2,2,156.0,6,3.58,3.86,7.0,145.0,5000.0,12.36842105263158,24.0,12629.0,1
83,83,83,3.0,122.0,11,1,1,1,2,1,0,95.9,0.8322921672272945,66.3,50.2,2921.0,2,2,156.0,6,3.59,3.86,7.0,145.0,5000.0,12.36842105263158,24.0,14869.0,1
84,84,84,3.0,122.0,11,1,1,1,2,1,0,95.9,0.8322921672272945,66.3,50.2,2926.0,2,2,156.0,6,3.59,3.86,7.0,145.0,5000.0,12.36842105263158,24.0,14489.0,1
85,85,85,1.0,125.0,11,1,0,0,3,1,0,96.3,0.8284478616049976,65.4,51.6,2365.0,2,2,122.0,1,3.35,3.46,8.5,88.0,5000.0,9.4,32.0,6989.0,1
86,86,86,1.0,125.0,11,1,0,0,3,1,0,96.3,0.8284478616049976,65.4,51.6,2405.0,2,2,122.0,1,3.35,3.46,8.5,88.0,5000.0,9.4,32.0,8189.0,1
87,87,87,1.0,125.0,11,1,1,0,3,1,0,96.3,0.8284478616049976,65.4,51.6,2403.0,2,2,110.0,6,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30.0,9279.0,1
88,88,88,-1.0,137.0,11,1,0,0,3,1,0,96.3,0.8284478616049976,65.4,51.6,2403.0,2,2,110.0,6,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30.0,9279.0,1
89,89,89,1.0,128.0,12,1,0,1,3,1,0,94.5,0.794329649207112,63.8,54.5,1889.0,2,2,97.0,1,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,5499.0,1
90,90,90,1.0,128.0,12,0,0,1,3,1,0,94.5,0.794329649207112,63.8,54.5,2017.0,2,2,103.0,3,2.99,3.47,21.9,55.0,4800.0,5.222222222222222,50.0,7099.0,1
91,91,91,1.0,128.0,12,1,0,1,3,1,0,94.5,0.794329649207112,63.8,54.5,1918.0,2,2,97.0,1,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,6649.0,1
92,92,92,1.0,122.0,12,1,0,0,3,1,0,94.5,0.794329649207112,63.8,54.5,1938.0,2,2,97.0,1,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,6849.0,1
93,93,93,1.0,103.0,12,1,0,0,4,1,0,94.5,0.8178760211436809,63.8,53.5,2024.0,2,2,97.0,1,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,7349.0,1
94,94,94,1.0,128.0,12,1,0,1,3,1,0,94.5,0.794329649207112,63.8,54.5,1951.0,2,2,97.0,1,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,7299.0,1
95,95,95,1.0,128.0,12,1,0,1,2,1,0,94.5,0.7957712638154734,63.8,53.3,2028.0,2,2,97.0,1,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,7799.0,1
96,96,96,1.0,122.0,12,1,0,0,3,1,0,94.5,0.794329649207112,63.8,54.5,1971.0,2,2,97.0,1,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,7499.0,1
97,97,97,1.0,103.0,12,1,0,0,4,1,0,94.5,0.8178760211436809,63.8,53.5,2037.0,2,2,97.0,1,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,7999.0,1
98,98,98,2.0,168.0,12,1,0,1,1,1,0,95.1,0.7803940413262855,63.8,53.3,2008.0,2,2,97.0,1,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,8249.0,1
99,99,99,0.0,106.0,12,1,0,0,2,1,0,97.2,0.8332532436328689,65.2,54.7,2324.0,2,2,120.0,1,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,34.0,8949.0,1
100,100,100,0.0,106.0,12,1,0,0,3,1,0,97.2,0.8332532436328689,65.2,54.7,2302.0,2,2,120.0,1,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,34.0,9549.0,1
101,101,101,0.0,128.0,12,1,0,0,3,1,0,100.4,0.8731379144641999,66.5,55.1,3095.0,4,3,181.0,5,3.43,3.27,9.0,152.0,5200.0,13.823529411764708,22.0,13499.0,1
102,102,102,0.0,108.0,12,1,0,0,4,1,0,100.4,0.8870735223450265,66.5,56.1,3296.0,4,3,181.0,5,3.43,3.27,9.0,152.0,5200.0,13.823529411764708,22.0,14399.0,1
103,103,103,0.0,108.0,12,1,0,0,3,1,0,100.4,0.8870735223450265,66.5,55.1,3060.0,4,3,181.0,5,3.43,3.27,9.0,152.0,5200.0,12.36842105263158,25.0,13499.0,1
104,104,104,3.0,194.0,12,1,0,1,2,2,0,91.3,0.8202787121576165,67.9,49.7,3071.0,4,3,181.0,5,3.43,3.27,9.0,160.0,5200.0,12.36842105263158,25.0,17199.0,1
105,105,105,3.0,194.0,12,1,1,1,2,2,0,91.3,0.8202787121576165,67.9,49.7,3139.0,4,3,181.0,5,3.43,3.27,7.8,200.0,5200.0,13.823529411764708,23.0,19699.0,2
106,106,106,1.0,231.0,12,1,0,1,2,2,0,99.2,0.857760691975012,67.9,49.7,3139.0,4,3,181.0,5,3.43,3.27,9.0,160.0,5200.0,12.36842105263158,25.0,18399.0,1
107,107,107,0.0,161.0,13,1,0,0,3,2,0,107.9,0.897164824603556,68.4,56.7,3020.0,1,2,120.0,5,3.46,3.19,8.4,97.0,5000.0,12.36842105263158,24.0,11900.0,1
108,108,108,0.0,161.0,13,0,1,0,3,2,0,107.9,0.897164824603556,68.4,56.7,3197.0,1,2,152.0,3,3.7,3.52,21.0,95.0,4150.0,8.392857142857142,33.0,13200.0,1
109,109,109,0.0,122.0,13,1,0,0,4,2,0,114.2,0.9557904853435848,68.4,58.7,3230.0,1,2,120.0,5,3.46,3.19,8.4,97.0,5000.0,12.36842105263158,24.0,12440.0,1
110,110,110,0.0,122.0,13,0,1,0,4,2,0,114.2,0.9557904853435848,68.4,58.7,3430.0,1,2,152.0,3,3.7,3.52,21.0,95.0,4150.0,9.4,25.0,13860.0,1
111,111,111,0.0,161.0,13,1,0,0,3,2,0,107.9,0.897164824603556,68.4,56.7,3075.0,1,2,120.0,5,3.46,2.19,8.4,95.0,5000.0,12.36842105263158,24.0,15580.0,1
112,112,112,0.0,161.0,13,0,1,0,3,2,0,107.9,0.897164824603556,68.4,56.7,3252.0,1,2,152.0,3,3.7,3.52,21.0,95.0,4150.0,8.392857142857142,33.0,16900.0,1
113,113,113,0.0,122.0,13,1,0,0,4,2,0,114.2,0.9557904853435848,68.4,56.7,3285.0,1,2,120.0,5,3.46,2.19,8.4,95.0,5000.0,12.36842105263158,24.0,16695.0,1
114,114,114,0.0,122.0,13,0,1,0,4,2,0,114.2,0.9557904853435848,68.4,58.7,3485.0,1,2,152.0,3,3.7,3.52,21.0,95.0,4150.0,9.4,25.0,17075.0,1
115,115,115,0.0,161.0,13,1,0,0,3,2,0,107.9,0.897164824603556,68.4,56.7,3075.0,1,2,120.0,5,3.46,3.19,8.4,97.0,5000.0,12.36842105263158,24.0,16630.0,1
116,116,116,0.0,161.0,13,0,1,0,3,2,0,107.9,0.897164824603556,68.4,56.7,3252.0,1,2,152.0,3,3.7,3.52,21.0,95.0,4150.0,8.392857142857142,33.0,17950.0,1
117,117,117,0.0,161.0,13,1,1,0,3,2,0,108.0,0.897164824603556,68.3,56.0,3130.0,1,2,134.0,5,3.61,3.21,7.0,142.0,5600.0,13.055555555555555,24.0,18150.0,1
118,118,118,1.0,119.0,14,1,0,1,2,1,0,93.7,0.7558865929841423,63.8,50.8,1918.0,2,2,90.0,1,2.97,3.23,9.4,68.0,5500.0,6.351351351351352,41.0,5572.0,1
119,119,119,1.0,119.0,14,1,1,1,2,1,0,93.7,0.7558865929841423,63.8,50.8,2128.0,2,2,98.0,6,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30.0,7957.0,1
120,120,120,1.0,154.0,14,1,0,0,2,1,0,93.7,0.7558865929841423,63.8,50.6,1967.0,2,2,90.0,1,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6229.0,1
121,121,121,1.0,154.0,14,1,0,0,3,1,0,93.7,0.8039404132628545,63.8,50.8,1989.0,2,2,90.0,1,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6692.0,1
122,122,122,1.0,154.0,14,1,0,0,3,1,0,93.7,0.8039404132628545,63.8,50.8,2191.0,2,2,98.0,1,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,7609.0,1
123,123,123,-1.0,74.0,14,1,0,0,4,1,0,103.3,0.8390197020663143,64.6,59.8,2535.0,2,2,122.0,1,3.35,3.46,8.5,88.0,5000.0,9.791666666666666,30.0,8921.0,1
124,124,124,3.0,122.0,14,1,1,1,2,2,0,95.9,0.8322921672272945,66.3,50.2,2818.0,2,2,156.0,6,3.59,3.86,7.0,145.0,5000.0,12.36842105263158,24.0,12764.0,1
125,125,125,3.0,186.0,15,1,0,1,2,2,0,94.5,0.8116290245074483,68.3,50.2,2778.0,2,2,151.0,5,3.94,3.11,9.5,143.0,5500.0,12.36842105263158,27.0,22018.0,2
126,126,126,3.0,122.0,15,1,0,1,1,2,1,89.5,0.8116290245074483,65.0,51.6,2756.0,3,3,194.0,5,3.74,2.9,9.5,207.0,5900.0,13.823529411764708,25.0,32528.0,0
127,127,127,3.0,122.0,15,1,0,1,1,2,1,89.5,0.8116290245074483,65.0,51.6,2756.0,3,3,194.0,5,3.74,2.9,9.5,207.0,5900.0,13.823529411764708,25.0,34028.0,0
128,128,128,3.0,122.0,15,1,0,1,0,2,1,89.5,0.8116290245074483,65.0,51.6,2800.0,3,3,194.0,5,3.74,2.9,9.5,207.0,5900.0,13.823529411764708,25.0,37028.0,0
130,130,130,0.0,122.0,16,1,0,0,4,1,0,96.1,0.8721768380586257,66.5,55.2,2579.0,2,2,132.0,5,3.46,3.9,8.7,103.39698492462311,5117.587939698493,10.217391304347826,31.0,9295.0,1
131,131,131,2.0,122.0,16,1,0,1,2,1,0,96.1,0.849591542527631,66.6,50.5,2460.0,2,2,132.0,5,3.46,3.9,8.7,103.39698492462311,5117.587939698493,10.217391304347826,31.0,9895.0,1
132,132,132,3.0,150.0,17,1,0,1,2,1,0,99.1,0.8966842864007688,66.5,56.1,2658.0,2,2,121.0,5,3.54,3.07,9.31,110.0,5250.0,11.19047619047619,28.0,11850.0,1
133,133,133,2.0,104.0,17,1,0,0,3,1,0,99.1,0.8966842864007688,66.5,56.1,2695.0,2,2,121.0,5,3.54,3.07,9.3,110.0,5250.0,11.19047619047619,28.0,12170.0,1
134,134,134,3.0,150.0,17,1,0,1,2,1,0,99.1,0.8966842864007688,66.5,56.1,2707.0,2,2,121.0,5,2.54,2.07,9.3,110.0,5250.0,11.19047619047619,28.0,15040.0,1
