,Unnamed: 0,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100Km,highway-mpg,price,price-binned
38,38,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.8049014896684287,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,9095.0,Low
39,39,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8428640076886112,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,8845.0,Low
40,40,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8428640076886112,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,10295.0,Low
41,41,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8428640076886112,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,9.791666666666666,28,12945.0,Low
42,42,1,107,honda,gas,std,two,sedan,fwd,front,96.5,0.8125901009130225,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,9.4,31,10345.0,Low
43,43,0,122.0,isuzu,gas,std,four,sedan,rwd,front,94.3,0.8202787121576165,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,9.791666666666666,29,6785.0,Low
46,46,2,122.0,isuzu,gas,std,two,hatchback,rwd,front,96.0,0.8294089380105718,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,9.791666666666666,29,11048.0,Low
47,47,0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,0.9591542527630946,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.666666666666666,19,32250.0,High
48,48,0,122.0,jaguar,gas,std,four,sedan,rwd,front,113.0,0.9591542527630946,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.666666666666666,19,35550.0,High
49,49,0,122.0,jaguar,gas,std,two,sedan,rwd,front,102.0,0.921191734742912,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,18.076923076923077,17,36000.0,High
50,50,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7645362806343105,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.833333333333333,31,5195.0,Low
51,51,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7645362806343105,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.580645161290323,38,6095.0,Low
52,52,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7645362806343105,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.580645161290323,38,6795.0,Low
53,53,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.8015377222489188,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.580645161290323,38,6695.0,Low
54,54,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.8015377222489188,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,7.580645161290323,38,7395.0,Low
55,55,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,65.7,49.6,2380,rotor,two,70,4bbl,,,9.4,101,6000,13.823529411764707,23,10945.0,Low
56,56,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,65.7,49.6,2380,rotor,two,70,4bbl,,,9.4,101,6000,13.823529411764707,23,11845.0,Low
57,57,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,65.7,49.6,2385,rotor,two,70,4bbl,,,9.4,101,6000,13.823529411764707,23,13645.0,Low
58,58,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,65.7,49.6,2500,rotor,two,80,mpfi,,,9.4,135,6000,14.6875,23,15645.0,Low
59,59,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.8543969245555022,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538461538,32,8845.0,Low
60,60,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.8543969245555022,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538461538,32,8495.0,Low
61,61,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.8543969245555022,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538461538,32,10595.0,Low
62,62,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.8543969245555022,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538461538,32,10245.0,Low
63,63,0,122.0,mazda,diesel,std,,sedan,fwd,front,98.8,0.8543969245555022,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,6.527777777777778,42,10795.0,Low
64,64,0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,0.8543969245555022,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538461538,32,11245.0,Low
65,65,0,118,mazda,gas,std,four,sedan,rwd,front,104.9,0.8409418548774628,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000,12.368421052631579,27,18280.0,Low
66,66,0,122.0,mazda,diesel,std,four,sedan,rwd,front,104.9,0.8409418548774628,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200,7.580645161290323,39,18344.0,Low
67,67,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,0.9173474291206152,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.681818181818182,25,25552.0,Medium
68,68,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,0.9173474291206152,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.681818181818182,25,28248.0,Medium
69,69,0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,0.9010091302258529,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.681818181818182,25,28176.0,Medium
70,70,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,0.9735703988467083,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.681818181818182,25,31600.0,Medium
71,71,-1,122.0,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,0.9735703988467083,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.10,8.3,155,4750,14.6875,18,34184.0,High
72,72,3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.8664103796251803,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.10,8.3,155,4750,14.6875,18,35056.0,High
73,73,0,122.0,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,1.0,71.7,56.7,3900,ohcv,eight,308,mpfi,3.80,3.35,8.0,184,4500,16.785714285714285,16,40960.0,High
74,74,1,122.0,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,0.9572320999519461,72.0,55.4,3715,ohcv,eight,304,mpfi,3.80,3.35,8.0,184,4500,16.785714285714285,16,45400.0,High
75,75,1,122.0,mercury,gas,turbo,two,hatchback,rwd,front,102.7,0.857280153772225,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000,12.368421052631579,24,16503.0,Low
76,76,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,6.351351351351352,41,5389.0,Low
77,77,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6189.0,Low
78,78,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6669.0,Low
79,79,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,0.7558865929841423,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.791666666666666,30,7689.0,Low
80,80,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,0.8313310908217203,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.217391304347826,30,9959.0,Low
81,81,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,0.8313310908217203,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,8499.0,Low
82,82,3,122.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000,12.368421052631579,24,12629.0,Low
83,83,3,122.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,12.368421052631579,24,14869.0,Low
84,84,3,122.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,12.368421052631579,24,14489.0,Low
85,85,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8284478616049976,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,6989.0,Low
86,86,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8284478616049976,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,8189.0,Low
87,87,1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,0.8284478616049976,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.217391304347826,30,9279.0,Low
88,88,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8284478616049976,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.217391304347826,30,9279.0,Low
89,89,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649207112,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,5499.0,Low
90,90,1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,0.794329649207112,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,5.222222222222222,50,7099.0,Low
91,91,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649207112,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,6649.0,Low
92,92,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.794329649207112,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,6849.0,Low
93,93,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.8178760211436809,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,7349.0,Low
94,94,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649207112,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,7299.0,Low
95,95,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,0.7957712638154734,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,7799.0,Low
96,96,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.794329649207112,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,7499.0,Low
97,97,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.8178760211436809,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,7999.0,Low
98,98,2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,0.7803940413262855,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161290323,37,8249.0,Low
99,99,0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,0.8332532436328689,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.703703703703704,34,8949.0,Low
100,100,0,106,nissan,gas,std,four,sedan,fwd,front,97.2,0.8332532436328689,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.703703703703704,34,9549.0,Low
101,101,0,128,nissan,gas,std,four,sedan,fwd,front,100.4,0.8731379144641999,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,13.823529411764707,22,13499.0,Low
102,102,0,108,nissan,gas,std,four,wagon,fwd,front,100.4,0.8870735223450265,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,13.823529411764707,22,14399.0,Low
103,103,0,108,nissan,gas,std,four,sedan,fwd,front,100.4,0.8870735223450265,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,12.368421052631579,25,13499.0,Low
104,104,3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,0.8202787121576165,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,12.368421052631579,25,17199.0,Low
105,105,3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,0.8202787121576165,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,13.823529411764707,23,19699.0,Medium
106,106,1,231,nissan,gas,std,two,hatchback,rwd,front,99.2,0.857760691975012,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,12.368421052631579,25,18399.0,Low
107,107,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164824603556,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.368421052631579,24,11900.0,Low
108,108,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164824603556,68.4,56.7,3197,l,four,152,idi,3.70,3.52,21.0,95,4150,8.392857142857142,33,13200.0,Low
109,109,0,122.0,peugot,gas,std,four,wagon,rwd,front,114.2,0.9557904853435849,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.368421052631579,24,12440.0,Low
110,110,0,122.0,peugot,diesel,turbo,four,wagon,rwd,front,114.2,0.9557904853435849,68.4,58.7,3430,l,four,152,idi,3.70,3.52,21.0,95,4150,9.4,25,13860.0,Low
111,111,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164824603556,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,12.368421052631579,24,15580.0,Low
112,112,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164824603556,68.4,56.7,3252,l,four,152,idi,3.70,3.52,21.0,95,4150,8.392857142857142,33,16900.0,Low
113,113,0,122.0,peugot,gas,std,four,wagon,rwd,front,114.2,0.9557904853435849,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,12.368421052631579,24,16695.0,Low
114,114,0,122.0,peugot,diesel,turbo,four,wagon,rwd,front,114.2,0.9557904853435849,68.4,58.7,3485,l,four,152,idi,3.70,3.52,21.0,95,4150,9.4,25,17075.0,Low
115,115,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164824603556,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.368421052631579,24,16630.0,Low
116,116,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164824603556,68.4,56.7,3252,l,four,152,idi,3.70,3.52,21.0,95,4150,8.392857142857142,33,17950.0,Low
117,117,0,161,peugot,gas,turbo,four,sedan,rwd,front,108.0,0.897164824603556,68.3,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600,13.055555555555555,24,18150.0,Low
118,118,1,119,plymouth,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,6.351351351351352,41,5572.0,Low
119,119,1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,0.7558865929841423,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.791666666666666,30,7957.0,Low
120,120,1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,0.7558865929841423,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6229.0,Low
121,121,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,0.8039404132628545,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6692.0,Low
122,122,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,0.8039404132628545,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,7609.0,Low
123,123,-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,0.8390197020663143,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.791666666666666,30,8921.0,Low
124,124,3,122.0,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,0.8322921672272945,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,12.368421052631579,24,12764.0,Low
125,125,3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,0.8116290245074483,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,12.368421052631579,27,22018.0,Medium
126,126,3,122.0,porsche,gas,std,two,hardtop,rwd,rear,89.5,0.8116290245074483,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.90,9.5,207,5900,13.823529411764707,25,32528.0,High
127,127,3,122.0,porsche,gas,std,two,hardtop,rwd,rear,89.5,0.8116290245074483,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.90,9.5,207,5900,13.823529411764707,25,34028.0,High
128,128,3,122.0,porsche,gas,std,two,convertible,rwd,rear,89.5,0.8116290245074483,65.0,51.6,2800,ohcf,six,194,mpfi,3.74,2.90,9.5,207,5900,13.823529411764707,25,37028.0,High
130,130,0,122.0,renault,gas,std,four,wagon,fwd,front,96.1,0.8721768380586257,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.90,8.7,104,,10.217391304347826,31,9295.0,Low
131,131,2,122.0,renault,gas,std,two,hatchback,fwd,front,96.1,0.849591542527631,66.6,50.5,2460,ohc,four,132,mpfi,3.46,3.90,8.7,104,,10.217391304347826,31,9895.0,Low
132,132,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,0.8966842864007688,66.5,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,11.19047619047619,28,11850.0,Low
133,133,2,104,saab,gas,std,four,sedan,fwd,front,99.1,0.8966842864007688,66.5,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,11.19047619047619,28,12170.0,Low
134,134,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,0.8966842864007688,66.5,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,11.19047619047619,28,15040.0,Low
135,135,2,104,saab,gas,std,four,sedan,fwd,front,99.1,0.8966842864007688,66.5,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,11.19047619047619,28,15510.0,Low
136,136,3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,0.8966842864007688,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,12.368421052631579,26,18150.0,Low
137,137,2,104,saab,gas,turbo,four,sedan,fwd,front,99.1,0.8966842864007688,66.5,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,12.368421052631579,26,18620.0,Medium
